airline_id,name,iata,icao,callsign,country,is_active
9666,Virgin Pacific,VH,VNP,,Fiji,Y
5326,Volga-Dnepr Airlines,VI,VDA,VOLGA-DNEPR,Russia,Y
5651,Royal Air Cambodge,VJ,RAC,,Cambodia,Y
5335,Virgin Nigeria Airways,VK,VGN,VIRGIN NIGERIA,Nigeria,Y
695,Air VIA,VL,VIM,,Bulgaria,Y
5309,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam,Y
1326,Tyrolean Airways,VO,TYR,TYROLEAN,Austria,Y
5373,VASP,VP,VSP,VASP,Brazil,Y
11948,Viking Hellas,VQ,VKH,DELPHI,Greece,Y
5041,TACV,VR,TCV,CABOVERDE,Portugal,Y
5347,Virgin Atlantic Airways,VS,VIR,VIRGIN,United Kingdom,Y
692,Air Tahiti,VT,VTA,AIR TAHITI,French Polynesia,Y
682,Air Ivoire,VU,VUN,AIRIVOIRE,Ivory Coast,Y
114,Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,Y
1290,Aeromar,VW,TAO,TRANS-AEROMAR,Mexico,Y
5331,Virgin America,VX,VRD,REDWOOD,United States,Y
2439,Formosa Airlines,VY,FOS,,Taiwan,Y
5352,Vueling Airlines,VY,VLG,VUELING,Spain,Y
3568,MyTravel Airways,VZ,MYT,KESTREL,United Kingdom,Y
10735,World Experience Airline,W1,WE1,WEA,Canada,Y
18553,Maastricht Airlines,W2,\N,,Netherlands,Y
20976,World Scale Airlines,W3,WSS,,United States,Y
16660,AeroWorld ,W4,WER,sovet,Russia,Y
3370,Mahan Air,W5,IRM,MAHAN AIR,Iran,Y
5461,Wizz Air,W6,WZZ,WIZZ AIR,Hungary,Y
16364,Austral Brasil,W7,\N,,Brazil,Y
970,Air Bagan,W9,JAB,AIR BAGAN,Myanmar,Y
3088,KLM Cityhopper,WA,KLC,CITY,Netherlands,Y
5424,Western Airlines,WA,WAL,WESTERN,United States,Y
4292,Rwandair Express,WB,RWD,RWANDAIR,Rwanda,Y
2950,Islena De Inversiones,WC,ISV,,Honduras,Y
11836,Amsterdam Airlines,WD,AAN,AMSTEL,Netherlands,Y
19930,Thai Smile Airways,WE,\N,THAI SMILE,Thailand,Y
5439,Widerøe,WF,WIF,WIDEROE,Norway,Y
16329,Sunwing,WG,\N,sunwing,Canada,Y
17911,China Northwest Airlines (WH),WH,\N,,China,Y
5399,WebJet Linhas A,WJ,WEB,WEB-BRASIL,Brazil,Y
2138,Edelweiss Air,WK,EDW,EDELWEISS,Switzerland,Y
16149,Windward Islands Airways,WM,\N,Winair,Netherlands Antilles,Y
4547,Southwest Airlines,WN,SWA,SOUTHWEST,United States,Y
5465,World Airways,WO,WOA,WORLD,United States,Y
8809,Island Air (WP),WP,MKU,,United States,Y
13633,PanAm World Airways,WQ,PQW,,United States,Y
20285,WestJet Encore,WR,WEN,Encore,Canada,Y
5416,WestJet,WS,WJA,WESTJET,Canada,Y
13757,Wizz Air Ukraine,WU,WAU,WIZZAIR UKRAINE,Ukraine,Y
4564,Swe Fly,WV,SWV,FLYING SWEDE,Sweden,Y
1441,bmibaby,WW,BMI,BABY,United Kingdom,Y
1792,CityJet,WX,BCY,CITY-IRELAND,Ireland,Y
3778,Oman Air,WY,OMA,OMAN AIR,Oman,Y
9239,Red Wings,WZ,RWZ,AIR RED,Russia,Y
2681,TUIfly,X3,HLX,YELLOW CAB,Germany,Y
20017,Fly Romania,X5,OTJ,TENDER AIR,Romania,Y
19433,XAIR USA,XA,XAU,XAIR,United States,Y
16645,NEXT Brasil,XB,NXB,XB,Brazil,Y
2295,ExpressJet,XE,BTA,JET LINK,United States,Y
5353,Vladivostok Air,XF,VLK,VLADAIR,Russia,Y
1607,Calima Aviacion,XG,CLI,CALIMA,Spain,Y
3467,Mesaba Airlines,XJ,MES,MESABA,United States,Y
1909,Corse-Mediterranee,XK,CCM,CORSICA,France,Y
1034,Aerolane,XL,LNE,LAN ECUADOR,Ecuador,Y
371,Alitalia Express,XM,SMX,ALIEXPRESS,Italy,Y
13130,Xpressair,XN,\N,,Indonesia,Y
3211,LTE International Airways,XO,LTE,FUN JET,Spain,Y
19473,XPTO,XP,XPT,XPTO,Portugal,Y
4573,SunExpress,XQ,SXS,SUNEXPRESS,Turkey,Y
17082,Skywest Australia,XR,\N,,Australia,Y
575,Air Exel,XT,AXL,EXEL COMMUTER,Netherlands,Y
16844,BVI Airways,XV,\N,,British Virgin Islands,Y
5584,Sky Express,XW,SXR,SKYSTORM,Russia,Y
9373,Greenfly,XX,GFY,,Spain,Y
3754,Nas Air,XY,KNE,NAS EXPRESS,Saudi Arabia,Y
14388,Congo Express,XZ,\N,EXPRESSWAYS,Congo (Kinshasa),Y
16135,Yellowstone Club Private Shuttle,Y1,\N,YCS,United States,Y
5325,Volaris,Y4,VOI,VOLARIS,Mexico,Y
17023,Asia Wings,Y5,AWA,,Kazakhstan,Y
13088,NordStar Airlines,Y7,\N,,Russia,Y
16725,Marusya Airways,Y8,MRS,snowball,Russia,Y
3148,Kish Air,Y9,IRK,KISHAIR,Iran,Y
9828,Ciel Canadien,YC,YCC,Ciel,Canada,Y
9135,Gomelavia,YD,\N,,Belarus,Y
18239,Yellowtail,YE,YEL,,United States,Y
18497,Yangon Airways Ltd.,YH,\N,,Burma,Y
5492,Yamal Airlines,YL,LLM,YAMAL,Russia,Y
3539,Montenegro Airlines,YM,MGX,MONTAIR,Montenegro,Y
16150,TransHolding System,YO,TYS,,Brazil,Y
16882,Polet Airlines (Priv),YQ,\N,,Russia,Y
17519,SENIC AIRLINES,YR,\N,,United States,Y
4299,Régional,YS,RAE,REGIONAL EUROPE,France,Y
16133,Yeti Airways,YT,\N,,Nepal,Y
3466,Mesa Airlines,YV,ASH,AIR SHUTTLE,United States,Y
327,Air Nostrum,YW,ANE,AIR NOSTRUM,Spain,Y
3497,Midwest Airlines,YX,MEP,,United States,Y
13690,Virginwings,YY,VWA,,Germany,Y
14881,LSM AIRLINES ,YZ,YZZ,Moscow frog ,Russia,Y
19928,All Argentina Express,Z0,Z9H,,Argentina,Y
9764,Zest Air,Z2,\N,,Philippines,Y
1266,Avient Aviation,Z3,SMJ,AVAVIA,Zimbabwe,Y
5523,Zoom Airlines,Z4,OOM,ZOOM,Canada,Y
20599,INAVIA Internacional,Z5,IIR,,Argentina,Y
16120,ZABAIKAL AIRLINES,Z6,ZTT,BAIKAL ,Russia,Y
16717,REDjet,Z7,\N,,Barbados,Y
603,Amaszonas,Z8,AZN,,Bolivia,Y
18825,Flightlink Tanzania,Z9,\N,,Tanzania,Y
792,Access Air,ZA,CYD,CYCLONE,United States,Y
2883,Interavia Airlines,ZA,SUW,ASTAIR,Russia,Y
220,Air Bourbon,ZB,BUB,BOURBON,Reunion,Y
3532,Monarch Airlines,ZB,MON,MONARCH,United Kingdom,Y
17786,Korongo Airlines,ZC,KGO,KORONGO,Congo (Kinshasa),Y
9809,Eastar Jet,ZE,ESR,Eastar,South Korea,Y
11947,Athens Airways,ZF,\N,ATHENSAIR,Greece,Y
5350,Viva Macau,ZG,VVM,JACKPOT,Macao,Y
4611,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China,Y
21,Aigle Azur,ZI,AAF,AIGLE AZUR,France,Y
16867,Zambezi Airlines (ZMA),ZJ,\N,,Zambia,Y
2607,Great Lakes Airlines,ZK,GLA,LAKES AIR,United States,Y
4178,Regional Express,ZL,RXA,REX,Australia,Y
19016,Apache Air,ZM,IWA,APACHE,United States,Y
17935,Zenith International Airline,ZN,ZNA,ZENITH,Thailand,Y
15867,Zabaykalskii Airlines,ZP,ZZZ,Lakeair,Russia,Y
10748,Locair,ZQ,LOC,LOCAIR,United States,Y
4455,Sama Airlines,ZS,SMY,NAJIM,Saudi Arabia,Y
20218,Tomp Airlines,ZT,T9P,,Chile,Y
20401,V Air,ZV,VAX,,Taiwan,Y
282,Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
16359,Japan Regio,ZX,ZXY,,Japan,Y
72,Ada Air,ZY,ADE,ADA AIR,Albania,Y
10224,Zz,ZZ,\N,,Belgium,Y
20608,Аэросервис,АЯ,\N,,Russia,Y
16273,KMV,МИ,\N,Air Minvody,Russia,Y
11767,Polar Airlines,ЯП,\N,,Russia,Y
14679,ConneX European Airline,,2CO,ConneX,Austria,Y
16131,Aerolineas Africanas,,AA1,,Guinea,Y
1892,Copterline,,AAQ,COPTERLINE,Finland,Y
110,ACES Colombia,,AES,ACES,Colombia,Y
176,Aviogenex,,AGX,GENEX,Serbia,Y
5279,United States Air Force,,AIO,AIR CHIEF,United States,Y
210,Airlift International,,AIR,AIRLIFT,United States,Y
252,Air Korea Co. Ltd.,,AKA,,Republic of Korea,Y
287,Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,Y
315,ATA Airlines,,AMT,AMTRAN,United States,Y
317,AMC Airlines,,AMV,,Egypt,Y
11795,Andalus Lineas Aereas,,ANU,Andalus,Spain,Y
20994,Aruba Airlines,,ARU,,Aruba,Y
9838,Indochina Airlines,,AXC,Airspup,Vietnam,Y
16895,Air Explore,,AXE,,Slovakia,Y
19007,Bluebird Airways (BZ),,BBG,,Greece,Y
3760,Ocean Air,,BCN,BLUE OCEAN,Mauritania,Y
17572,Bateleur Air,,BEU,,South Africa,Y
18959,Bingo Airways,,BGY,,Poland,Y
1420,BF-Lento OY,,BKF,BAKERFLIGHT,Finland,Y
1431,Baltic Airlines,,BLL,BALTIC AIRLINES,Russia,Y
1445,British Midland Regional,,BMR,,United Kingdom,Y
20725,Boliviana de Aviacion (OB),,BOV,BOLIVIANA,Bolivia,Y
1466,Budapest Aircraft Services/Manx2,,BPS,BASE,Hungary,Y
1476,Brazilian Air Force,,BRS,BRAZILIAN AIR FORCE,Brazil,Y
17027,Air Batumi,,BTM,,Georgia,Y
16939,Air Bucharest,,BUR,,Romania,Y
1894,Corendon Airlines,,CAI,CORENDON,Turkey,Y
1923,Crest Aviation,,CAN,CREST,United Kingdom,Y
21248,GX Airlines,,CBG,SPRAY,China,Y
19651,CARICOM AIRWAYS (BARBADOS) INC.,,CCB,,Barbados,Y
1700,Central Connect Airlines,,CCG,,Czech Republic,Y
11802,CEIBA Intercontinental,,CEL,CEIBA LINE,Equatorial Guinea,Y
19351,Comfort Express Virtual Charters,,CEO,,United States,Y
11726,Air Century,,CEY,,Dominican Republic,Y
1808,Click Airways,,CGK,CLICK AIR,Kyrgyzstan,Y
1737,Charter Air,,CHW,CHARTER WIEN,Austria,Y
20415,Cello Aviation,,CLJ,CELLOJET,United Kingdom,Y
19276,Canaryfly,,CNF,,Spain,Y
4606,SAS Braathens,,CNO,SCANOR,Norway,Y
16921,Comtel Air,,COE,,Austria,Y
1931,Crown Airways,,CRO,CROWN AIRWAYS,United States,Y
20991,Choice Airways,,CSX,,United States,Y
16881,Air Cudlua,,CUD,Cudlua,United Kingdom,Y
20698,First Flying,,DAK,,Japan,Y
2061,Dubrovnik Air,,DBK,SEAGULL,Croatia,Y
11798,Air 26,,DCD,DUCARD,Angola,Y
2006,Delta Aerotaxi,,DEA,JET SERVICE,Italy,Y
19474,Royal Flight,,DME,,Russia,Y
2070,Dutch Antilles Express,,DNL,DUTCH ANTILLES,Netherlands Antilles,Y
2013,Denim Air,,DNM,DENIM,Netherlands,Y
16983,Direct Aero Services,,DSV,,Romania,Y
20996,Dynamic Airways,,DYA,,United States,Y
13187,Eastok Avia,,EAA,,Kyrgyzstan,Y
2137,Ecuavia,,ECU,ECUAVIA,Ecuador,Y
11765,EasyFly,,EFY,EASYFLY,Colombia,Y
19525,BBN-Airways,,EGH,BBN,United Kingdom,Y
16967,Eagles Airlines,,EGS,EAGLES,Italy,Y
18672,East Horizon,,EHN,EAST HORIZON,Afghanistan,Y
16198,Small Planet Airlines,,ELC,,Lithuania,Y
10945,Enerjet,,ENJ,ENERJET AIR,Canada,Y
19619,Envoy Air,,ENY,Envoy,United States,Y
20875,Jota Aviation,,ENZ,ENZO,United Kingdom,Y
11815,Air Italy Egypt,,EUD,,Egypt,Y
19350,Comfort Express Virtual Charters Albany,,EVC,Comfort Express,United States,Y
13209,Eznis Airways,,EZA,EZNIS,Mongolia,Y
20923,COBALT,,FCB,COBALT,Cyprus,Y
18952,Flybe Finland Oy,,FCM,FINNCOMM,Finland,Y
17086,Feeder Airlines,,FDD,,Sudan,Y
20566,FlyEgypt,,FEG,,Egypt,Y
878,Airfix Aviation,,FIX,AIRFIX,Finland,Y
19923,Fly Jamaica Airways,,FJM,Greenheart,Jamaica,Y
18076,Flying kangaroo Airline,,FKA,Skippy,Australia,Y
9859,German Air Force - FLB,,FLB,FLB,Germany,Y
14073,Finlandian,,FN1,,Finland,Y
11949,Norlandair,,FNA,NORLAND,Iceland,Y
2456,Freedom Airlines,,FRL,FREEDOM AIR,United States,Y
11950,Flugfelag Vestmannaeyja,,FVM,ELEGANT,Iceland,Y
2429,Flyhy Cargo Airlines,,FYH,FLY HIGH,Thailand,Y
19359,FLYJET,,FYJ,Fast Jet,Poland,Y
20220,Fuzhou Airlines,,FZA,,China,Y
20051,Fly Africa Zimbabwe,,FZW,Fresh Express,Zimbabwe,Y
19776,Grand Cru Airlines,,GCA,,Lithuania,Y
10740,Tianjin Airlines,,GCR,,China,Y
12976,Grand China Air,,GDC,GRAND CHINA,China,Y
2637,Gulf Air,,GFA,GULF AIR,Oman,Y
2645,Gulfstream International Airlines,,GFT,GULF FLIGHT,United States,Y
19244,Golden Myanmar Airlines,,GMR,Golden Myanmar,Burma,Y
17026,Georgian International Airlines,,GNN,GEO-LINE,Georgia,Y
16858,Hamburg Airways,,HAY,,Germany,Y
18475,Hebei Airlines,,HBH,Hebei Air,China,Y
20155,Hebradran Air Services,,HBR,Hebradran,United Kingdom,Y
16919,Holidays Czech Airlines,,HCC,,Czech Republic,Y
3694,North American Charters,,HMR,HAMMER,Canada,Y
16100,Happy Air,,HPY,,Thailand,Y
18781,Hermes Airlines,,HRM,HERMES,Greece,Y
4640,Sky Europe Airlines,,HSK,MATRA,Slovakia,Y
17694,Helitt Líneas Aéreas,,HTH,,Spain,Y
5146,Turkish Air Force,,HVK,TURKISH AIRFORCE,Turkey,Y
2761,Highland Airways,,HWY,HIWAY,United Kingdom,Y
20653,Aeronautica Militare,,IAM,Italian Airforce,Italy,Y
20729,Norwegian Air International (D8),,IBK,NORTRANS,Norway,Y
20824,Indonesa Air Aisa X,,IDX,Red Phoenix,Indonesia,Y
16084,AIR INDOCHINE,,IIA,,Vietnam,Y
16362,OCEAN AIR CARGO,,IXO,,India,Y
3039,Jetflite,,JEF,JETFLITE,Finland,Y
13107,Jagson Airlines,,JGN,JAGSON,India,Y
20675,Jetstar Japan ,,JJP,ORANGE LINER,Japan,Y
13188,Jupiter Airlines,,JPU,JUPITERAIR,United Arab Emirates,Y
10642,Jc royal.britannica,,JRB,,United Kingdom,Y
18476,Air KBZ,,KBZ,Air KBZ,Burma,Y
19599,Skyline Ulasim Ticaret A.S.,,KCU,Kocoglu,Turkey,Y
3122,Kendell Airlines,,KDA,KENDELL,Australia,Y
13202,Korea Express Air,,KEA,,South Korea,Y
4113,Kinloss Flying Training Unit,,KIN,KINLOSS,United Kingdom,Y
14858,Kal Star Aviation,,KLS,,Indonesia,Y
16868,Kan Air,,KND,Kan Air,Thailand,Y
19363,Russkie Krylya,,KRY,,Russia,Y
3165,Kosmos,,KSM,KOSMOS,Russia,Y
19280,Sunrise Airways,,KSZ,,Haiti,Y
21043,Kush Air,,KUH,,South Sudan,Y
9811,Wataniya Airways,,KW1,,Kuwait,Y
20808,Alghanim,,KYA,,United States,Y
16940,AlbaStar,,LAV,,Spain,Y
1017,Air Alfa,,LFA,,Turkey,Y
10117,FlyLAL Charters,,LLC,,Lithuania,Y
3237,LatCharter,,LTC,LATCHARTER,Latvia,Y
20931,Southern Airways Express,,LTD,LIGHTSPEED,United States,Y
3542,Morningstar Air Express,,MAL,MORNINGSTAR,Canada,Y
9626,MCA Airlines,,MCA,CALSON,Sweden,Y
16985,Medallion Air,,MDP,MEDALS,Romania,Y
16926,Mint Airways,,MIC,,Spain,Y
18676,Air Majoro,,MJP,Air Majoro,Peru,Y
11813,EgyptAir Express,,MSE,EGYPTAIR EXPRESS,Egypt,Y
11800,Mauritania Airways,,MTW,MAURITANIA AIRWAYS,Mauritania,Y
17726,Malaysia Wings,,MWI,MWI,Malaysia,Y
3571,Myflug,,MYA,MYFLUG,Iceland,Y
20225,Mann Yadanarpon Airlines,,MYP,MANN ROYAL,Burma,Y
3684,Norfolk County Flight College,,NCF,COUNTY,United Kingdom,Y
11762,Transportes Aereos Cielos Andinos,,NDN,ANDINOS,Peru,Y
18668,Nesma Airlines,,NMA,Nesma Airlines,Egypt,Y
3693,North American Airlines,,NTM,NORTHAM,Canada,Y
16409,Nihon.jet connect,,NX1,,Kyrgyzstan,Y
19548,Yeti Airlines ,,NYT,,Nepal,Y
17628,Orbit International Airlines,,OAI,OA,United States,Y
17630,Orbit Atlantic Airways,,OAN,,United States,Y
17629,Orbit Regional Airlines,,OAR,OA,United States,Y
11700,Orbest,,OBS,ORBEST,Portugal,Y
16932,Orbit Airlines,,OBT,Orbit,United States,Y
11751,Sol Lineas Aereas,,OLS,FLIGHT SOL,Argentina,Y
20962,Orenburzhie,,ORG,,Russia,Y
3785,One Two Go Airlines,,OTG,THAI EXPRESS,Thailand,Y
4702,Skywest Airlines,,OZW,OZWEST,Australia,Y
20158,Pobeda,,PBD,POBEDA,Russia,Y
13211,Pacific Flier,,PFL,KOROR,Palau,Y
18863,Псковавиа,,PKV,,Russia,Y
3995,Polet,,POT,POLET,Russia,Y
4270,Royal Phnom Penh Airways,,PPW,PHNOM-PENH AIR,Cambodia,Y
3860,Pacific Island Aviation,,PSA,PACIFIC ISLE,United States,Y
13217,Syrian Pearl Airlines,,PSB,,Syria,Y
3914,Passaredo Transportes Aereos,,PTB,PASSAREDO,Brazil,Y
4056,Privatair,,PTI,PRIVATAIR,Switzerland,Y
20478,Pouya Air,,PYA,,Iran,Y
14069,Zapolyarie Airlines,,PZY,,Russia,Y
13181,Fars Air Qeshm,,QFZ,FARS AIR,Iran,Y
16556,ENTERair,,QQQ,,Poland,Y
2829,Icar Air,,RAC,TUZLA AIR,Bosnia and Herzegovina,Y
18692,Rotana Jet,,RJD,ROTANA,United Arab Emirates,Y
4283,Rusline,,RLU,RUSLINE AIR,Russia,Y
19785,Go2Sky,,RLX,RELAX,Slovakia,Y
19459,Simrik Airlines,,RMK,,Nepal,Y
17695,Russia State Transport,,RSD,STATE AERO,Russia,Y
295,Air Sunshine,,RSI,AIR SUNSHINE,United States,Y
18083,RusJet,,RSJ,,Russia,Y
19917,Jet Suite,,RSP,Red Stripe,United States,Y
1232,Aeronorte,,RTE,LUZAVIA,Portugal,Y
4294,Ryan Air Services,,RYA,RYAN AIR,United States,Y
4323,ScotAirways,,SAY,SUCKLING,United Kingdom,Y
4342,Scenic Airlines,,SCE,SCENIC,United States,Y
3384,Malmo Aviation,,SCW,SCANWING,Sweden,Y
20060,San Dima Air,,SDI,FAREFLIGHT,United States,Y
4370,Southeast Air,,SEA,SOUTHEAST AIR,United States,Y
11833,Sevenair,,SEN,SEVENAIR,Tunisia,Y
4414,Sahara Airlines,,SHD,,Algeria,Y
20293,Sky Regional Airlines,,SKV,Maple,Canada,Y
16794,Carpatair Flight Training,,SMW,Smartwings,Romania,Y
11719,Southern Air Charter,,SOA,,Bahamas,Y
4804,Southern Airways,,SOU,SOUTHERN EXPRESS,United States,Y
4816,South Pacific Island Airways,,SPI,SOUTH PACIFIC,United States,Y
16101,Solar Air,,SRB,Solar Air,Thailand,Y
16723,Sprintair,,SRN,,Poland,Y
21124,ViaAir,,SRY,Stingray,United States,Y
11724,SVG Air,,SVG,Grenadines,Saint Vincent and the Grenadines,Y
20221,Sky Angkor Airlines (ZA),,SWM,SKY ANGKOR,Cambodia,Y
4563,Swiss European Air Lines,,SWU,EUROSWISS,Switzerland,Y
10371,Aerolineas heredas santa maria,,SZB,,Dominican Republic,Y
16130,SUR Lineas Aereas,,SZZ,,Argentina,Y
551,Air Moorea,,TAH,AIR MOOREA,France,Y
5510,Zanair,,TAN,ZANAIR,Tanzania,Y
11856,Transavia Denmark,,TDK,,Denmark,Y
